Skills Community,Category,Specialty Area,Work Role,Competency Group ID,Competency Group,Competency ID,Competency,K S or A,KSA ID,KSA
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG02,Operational,C044,Risk Management,Knowledge,K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG02,Operational,C044,Risk Management,Knowledge,K0455,"Knowledge of information security concepts, facilitating technologies and methods."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG02,Operational,C044,Risk Management,Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG02,Operational,C044,Risk Management,Knowledge,K0376,"Knowledge of internal and external customers and partner organizations, including information needs, objectives, structure, capabilities, etc."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG02,Operational,C044,Risk Management,Knowledge,K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG02,Operational,C044,Risk Management,Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG02,Operational,C044,Risk Management,Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG02,Operational,C044,Risk Management,Knowledge,K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG02,Operational,C044,Risk Management,Knowledge,K0455,"Knowledge of information security concepts, facilitating technologies and methods."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG02,Operational,C044,Risk Management,Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG02,Operational,C044,Risk Management,Knowledge,K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG02,Operational,C044,Risk Management,Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG02,Operational,C044,Risk Management,Knowledge,K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG02,Operational,C044,Risk Management,Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C045,Software Development,Knowledge,K0559,"Knowledge of the basic structure, architecture, and design of converged applications."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C045,Software Development,Knowledge,K0559,"Knowledge of the basic structure, architecture, and design of converged applications."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG04,Leadership,C047,Strategic Planning,Knowledge,K0518,Knowledge of planning activity initiation.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG04,Leadership,C047,Strategic Planning,Skill,S0185,Skill in applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG04,Leadership,C047,Strategic Planning,Skill,S0273,Skill in reviewing and editing plans.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG04,Leadership,C047,Strategic Planning,Skill,S0326,Skill to distinguish between notional and actual resources and their applicability to the plan under development.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG04,Leadership,C047,Strategic Planning,Skill,S0216,Skill in evaluating available capabilities against desired effects to provide effective courses of action.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG04,Leadership,C047,Strategic Planning,Skill,S0185,Skill in applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG04,Leadership,C047,Strategic Planning,Skill,S0326,Skill to distinguish between notional and actual resources and their applicability to the plan under development.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG04,Leadership,C047,Strategic Planning,Skill,S0216,Skill in evaluating available capabilities against desired effects to provide effective courses of action.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Knowledge,K0224,"Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Knowledge,K0363,Knowledge of auditing and logging procedures (including server-based logging).
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Knowledge,K0406,Knowledge of current software and methodologies for active defense and system hardening.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Knowledge,K0609,Knowledge of virtual machine technologies.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Skill,S0062,Skill in analyzing memory dumps to extract information.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Skill,S0206,Skill in determining installed patches on various operating systems and identifying patch signatures.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C048,System Administration,Skill,S0275,Skill in server administration.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C048,System Administration,Knowledge,K0610,"Knowledge of virtualization products (VMware, Virtual PC)."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C048,System Administration,Knowledge,K0224,"Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C048,System Administration,Knowledge,K0610,"Knowledge of virtualization products (VMware, Virtual PC)."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C048,System Administration,Knowledge,K0610,"Knowledge of virtualization products (VMware, Virtual PC)."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C049,Systems Integration,Knowledge,K0036,Knowledge of human-computer interaction principles.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C049,Systems Integration,Knowledge,K0347,Knowledge and understanding of operational design.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C049,Systems Integration,Knowledge,K0036,Knowledge of human-computer interaction principles.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C049,Systems Integration,Knowledge,K0036,Knowledge of human-computer interaction principles.
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C049,Systems Integration,Knowledge,K0036,Knowledge of human-computer interaction principles.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C051,Target Development,Skill,S0182,Skill in analyzing target communications internals and externals collected from wireless LANs.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C051,Target Development,Skill,S0255,"Skill in providing real-time, actionable geolocation information utilizing target infrastructures."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C051,Target Development,Skill,S0293,"Skill in using tools, techniques, and procedures to remotely exploit and establish persistence on a target."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C051,Target Development,Skill,S0299,"Skill in wireless network target analysis, templating, and geolocation."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C051,Target Development,Knowledge,K0535,Knowledge of strategies and tools for target research.
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C051,Target Development,Skill,S0237,"Skill in identifying, locating, and tracking targets via geospatial analysis techniques"
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C051,Target Development,Skill,S0279,Skill in target development in direct support of collection operations.
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C051,Target Development,Ability,A0086,Ability to expand network access by conducting target analysis and collection to identify targets of interest.
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C051,Target Development,Ability,A0093,Ability to identify/describe techniques/methods for conducting technical exploitation of the target.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C051,Target Development,Knowledge,K0549,Knowledge of target vetting and validation procedures.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C051,Target Development,Knowledge,K0551,Knowledge of targeting cycles.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C051,Target Development,Skill,S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C051,Target Development,Skill,S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0426,Knowledge of dynamic and deliberate targeting.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0533,"Knowledge of specific target identifiers, and their usage."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0542,"Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0546,"Knowledge of target list development (i.e. Restricted, Joint, Candidate, etc.)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0547,Knowledge of target methods and procedures.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0549,Knowledge of target vetting and validation procedures.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Knowledge,K0551,Knowledge of targeting cycles.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Skill,S0205,Skill in determining appropriate targeting options through the evaluation of available capabilities against desired effects.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Skill,S0222,Skill in fusion analysis 
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Skill,S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Skill,S0248,Skill in performing target system analysis.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C051,Target Development,Skill,S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Knowledge,K0520,"Knowledge of principles and practices related to target development such as target knowledge, associations, communication systems, and infrastructure."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Knowledge,K0547,Knowledge of target methods and procedures.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Knowledge,K0592,Knowledge of the purpose and contribution of target templates.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0177,Skill in analyzing a target's communication networks.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0205,Skill in determining appropriate targeting options through the evaluation of available capabilities against desired effects.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0222,Skill in fusion analysis 
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0225,Skill in identifying a target’s communications networks.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0231,Skill in identifying how a target communicates.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0234,Skill in identifying leads for target development.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0248,Skill in performing target system analysis.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0259,Skill in recognizing denial and deception techniques of the target.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0262,Skill in recognizing significant changes in a target’s communication patterns.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0280,"Skill in target network anomaly identification (e.g., intrusions, dataflow or processing, target implementation of new technologies)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C051,Target Development,Skill,S0291,"Skill in using research methods including multiple, different sources to reconstruct a target network."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C051,Target Development,Skill,S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C051,Target Development,Skill,S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C053,Technology Awareness,Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C053,Technology Awareness,Knowledge,K0523,"Knowledge of products and nomenclature of major vendors (e.g., security suites - Trend Micro, Symantec, McAfee, Outpost, and Panda) and how those products affect exploitation and reduce vulnerabilities."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C053,Technology Awareness,Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG01,Technical,C053,Technology Awareness,Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C053,Technology Awareness,Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C053,Technology Awareness,Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C053,Technology Awareness,Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C054,Telecommunications,Knowledge,K0375,Knowledge of wireless applications vulnerabilities.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C054,Telecommunications,Knowledge,K0438,"Knowledge of mobile cellular communications architecture (e.g., LTE, CDMA, GSM/EDGE and UMTS/HSPA)."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C054,Telecommunications,Knowledge,K0528,Knowledge of satellite-based communication systems.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C054,Telecommunications,Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C054,Telecommunications,Skill,S0276,"Skill in survey, collection, and analysis of wireless LAN metadata."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0445,Knowledge of how modern digital and telephony networks impact cyber operations.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0446,Knowledge of how modern wireless communications systems impact cyber operations.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0556,Knowledge of telecommunications fundamentals.
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks. "
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C054,Telecommunications,Knowledge,K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),CG01,Technical,C054,Telecommunications,Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C054,Telecommunications,Knowledge,K0445,Knowledge of how modern digital and telephony networks impact cyber operations.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C054,Telecommunications,Knowledge,K0446,Knowledge of how modern wireless communications systems impact cyber operations.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C054,Telecommunications,Knowledge,K0556,Knowledge of telecommunications fundamentals.
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C054,Telecommunications,Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Cyber Effects,Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),CG01,Technical,C054,Telecommunications,Knowledge,K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),CG01,Technical,C054,Telecommunications,Knowledge,K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks. "
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C054,Telecommunications,Knowledge,K0445,Knowledge of how modern digital and telephony networks impact cyber operations.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C054,Telecommunications,Knowledge,K0446,Knowledge of how modern wireless communications systems impact cyber operations.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C054,Telecommunications,Knowledge,K0556,Knowledge of telecommunications fundamentals.
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C054,Telecommunications,Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Cyber Effects,Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),CG01,Technical,C054,Telecommunications,Knowledge,K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C054,Telecommunications,Knowledge,K0442,"Knowledge of how converged technologies impact cyber operations (e.g., digital, telephony, wireless)."
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C054,Telecommunications,Knowledge,K0445,Knowledge of how modern digital and telephony networks impact cyber operations.
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C054,Telecommunications,Knowledge,K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks. "
Cyber Effects,Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),CG01,Technical,C054,Telecommunications,Knowledge,K0600,"Knowledge of the structure, architecture, and design of modern wireless communications systems."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C054,Telecommunications,Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C054,Telecommunications,Knowledge,K0445,Knowledge of how modern digital and telephony networks impact cyber operations.
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C054,Telecommunications,Knowledge,K0446,Knowledge of how modern wireless communications systems impact cyber operations.
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C054,Telecommunications,Knowledge,K0556,Knowledge of telecommunications fundamentals.
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C054,Telecommunications,Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Cyber Effects,Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),CG01,Technical,C054,Telecommunications,Knowledge,K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C055,Threat Analysis,Knowledge,K0430,Knowledge of evasion strategies and techniques.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C055,Threat Analysis,Knowledge,K0480,Knowledge of malware.
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C055,Threat Analysis,Knowledge,K0536,"Knowledge of structure, approach, and strategy of exploitation tools (e.g., sniffers, keyloggers) and techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network)."
Cyber Effects,Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),CG01,Technical,C055,Threat Analysis,Skill,S0270,"Skill in reverse engineering (e.g., hex editing, binary packaging utilities, debugging, and strings analysis) to identify function and ownership of remote tools."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C055,Threat Analysis,Knowledge,K0362,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.)."
Cyber Effects,Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),CG01,Technical,C055,Threat Analysis,Knowledge,K0480,Knowledge of malware.
