role,KSA ID,description
Knowledge,K0465,Knowledge of internal and external partner cyber operations capabilities and tools.
Knowledge,K0494,"Knowledge of objectives, situation, operational environment, and the status and disposition of internal and external partner collection capabilities available to support planning."
Knowledge,K0497,Knowledge of operational effectiveness assessment.
Knowledge,K0499,Knowledge of operations security.
Knowledge,K0501,"Knowledge of organization cyber operations programs, strategies, and resources."
Knowledge,K0589,Knowledge of the process used to assess the performance and impact of operations.
Knowledge,K0590,Knowledge of the processes to synchronize operational assessment procedures with the critical information requirement process.
Knowledge,K0593,"Knowledge of the range of cyber operations and their underlying intelligence support needs, topics, and focus areas."
Knowledge,K0594,"Knowledge of the relationships between end states, objectives, effects, lines of operation, etc."
Knowledge,K0597,Knowledge of the role of network operations in supporting and facilitating other organization operations.
Knowledge,K0413,"Knowledge of cyber operation objectives, policies, and legalities. "
Knowledge,K0415,Knowledge of cyber operations terminology/lexicon.
Knowledge,K0350,Knowledge of accepted organization planning systems.
Knowledge,K0502,Knowledge of organization decision support tools and/or methods.
Knowledge,K0504,"Knowledge of organization issues, objectives, and operations in cyber as well as regulations and policy directives governing cyber operations."
Knowledge,K0506,"Knowledge of organization objectives, leadership priorities, and decision-making risks."
Knowledge,K0508,Knowledge of organization policies and planning concepts for partnering with internal and/or external organizations.
Knowledge,K0511,Knowledge of organizational hierarchy and cyber decision-making processes.
Knowledge,K0512,Knowledge of organizational planning concepts.
Knowledge,K0514,Knowledge of organizational structures and associated intelligence capabilities.
Knowledge,K0572,Knowledge of the functions and capabilities of internal teams that emulate threat activities to benefit the organization.
Knowledge,K0582,Knowledge of the organizational planning and staffing process.
Knowledge,K0585,"Knowledge of the organizational structure as it pertains to full spectrum cyber operations, including the functions, responsibilities, and interrelationships among distinct internal elements."
Knowledge,K0598,"Knowledge of the structure and intent of organization specific plans, guidance and authorizations."
Knowledge,K0509,"Knowledge of organizational and partner authorities, responsibilities, and contributions to achieving objectives."
Knowledge,K0510,"Knowledge of organizational and partner policies, tools, capabilities, and procedures."
Knowledge,K0439,Knowledge of governing authorities for targeting.
Knowledge,K0432,"Knowledge of existing, emerging, and long-range issues related to cyber operations strategy, policy, and organization."
Knowledge,K0566,Knowledge of the critical information requirements and how they're used in planning.
Knowledge,K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
Knowledge,K0455,"Knowledge of information security concepts, facilitating technologies and methods."
Knowledge,K0376,"Knowledge of internal and external customers and partner organizations, including information needs, objectives, structure, capabilities, etc."
Knowledge,K0559,"Knowledge of the basic structure, architecture, and design of converged applications."
Knowledge,K0518,Knowledge of planning activity initiation.
Knowledge,K0224,"Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems."
Knowledge,K0363,Knowledge of auditing and logging procedures (including server-based logging).
Knowledge,K0406,Knowledge of current software and methodologies for active defense and system hardening.
Knowledge,K0609,Knowledge of virtual machine technologies.
Knowledge,K0610,"Knowledge of virtualization products (VMware, Virtual PC)."
Knowledge,K0036,Knowledge of human-computer interaction principles.
Knowledge,K0347,Knowledge and understanding of operational design.
Knowledge,K0535,Knowledge of strategies and tools for target research.
Knowledge,K0549,Knowledge of target vetting and validation procedures.
Knowledge,K0551,Knowledge of targeting cycles.
Knowledge,K0426,Knowledge of dynamic and deliberate targeting.
Knowledge,K0533,"Knowledge of specific target identifiers, and their usage."
Knowledge,K0542,"Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.)."
Knowledge,K0546,"Knowledge of target list development (i.e. Restricted, Joint, Candidate, etc.)."
Knowledge,K0547,Knowledge of target methods and procedures.
Knowledge,K0520,"Knowledge of principles and practices related to target development such as target knowledge, associations, communication systems, and infrastructure."
Knowledge,K0592,Knowledge of the purpose and contribution of target templates.
Knowledge,K0431,Knowledge of evolving/emerging communications technologies.
Knowledge,K0523,"Knowledge of products and nomenclature of major vendors (e.g., security suites - Trend Micro, Symantec, McAfee, Outpost, and Panda) and how those products affect exploitation and reduce vulnerabilities."
Knowledge,K0375,Knowledge of wireless applications vulnerabilities.
Knowledge,K0438,"Knowledge of mobile cellular communications architecture (e.g., LTE, CDMA, GSM/EDGE and UMTS/HSPA)."
Knowledge,K0528,Knowledge of satellite-based communication systems.
Knowledge,K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
Knowledge,K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)."
Knowledge,K0445,Knowledge of how modern digital and telephony networks impact cyber operations.
Knowledge,K0446,Knowledge of how modern wireless communications systems impact cyber operations.
Knowledge,K0556,Knowledge of telecommunications fundamentals.
Knowledge,K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks. "
Knowledge,K0442,"Knowledge of how converged technologies impact cyber operations (e.g., digital, telephony, wireless)."
Knowledge,K0600,"Knowledge of the structure, architecture, and design of modern wireless communications systems."
Knowledge,K0430,Knowledge of evasion strategies and techniques.
Knowledge,K0480,Knowledge of malware.
Knowledge,K0536,"Knowledge of structure, approach, and strategy of exploitation tools (e.g., sniffers, keyloggers) and techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network)."
Knowledge,K0362,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.)."
Knowledge,K0603,Knowledge of the ways in which targets or threats use the Internet.
Knowledge,K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks)."
Knowledge,K0368,Knowledge of implants that enable cyber collection and/or preparation activities.
Knowledge,K0469,Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.
Knowledge,K0604,Knowledge of threat and/or target systems.
Knowledge,K0479,Knowledge of malware analysis and characteristics.
Knowledge,K0481,Knowledge of methods and techniques used to detect various exploitation activities.
Knowledge,K0531,Knowledge of security implications of software configurations.
Knowledge,K0392,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.)."
Knowledge,K0538,"Knowledge of target and threat organization structures, critical capabilities, and critical vulnerabilities"
Knowledge,K0402,"Knowledge of criticality and vulnerability factors (e.g., value, recuperation, cushion, countermeasures) for target selection and applicability to the cyber domain."
Knowledge,K0349,"Knowledge of website types, administration, functions, and content management system (CMS)."
Knowledge,K0444,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP)."
Knowledge,K0388,"Knowledge of collection searching/analyzing techniques and tools for chat/buddy list, emerging technologies, VOIP, Media Over IP, VPN, VSAT/wireless, web mail and cookies."
Knowledge,K0534,"Knowledge of staff management, assignment, and allocation processes."
Knowledge,K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
Knowledge,K0032,Knowledge of resiliency and redundancy.
Knowledge,K0210,Knowledge of data backup and restoration concepts.
Knowledge,K0304,Knowledge of concepts and practices of processing digital forensic data.
Knowledge,K0139,Knowledge of interpreted and compiled computer languages.
Knowledge,K0014,Knowledge of complex data structures.
Knowledge,K0016,Knowledge of computer programming principles 
Knowledge,K0068,Knowledge of programming language structures and logic.
Knowledge,K0140,Knowledge of secure coding techniques.
Knowledge,K0098,Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization.
Knowledge,K0160,Knowledge of the common attack vectors on the network layer.
Knowledge,K0191,"Knowledge of signature implementation impact for viruses, malware, and attacks."
Knowledge,K0324,Knowledge of Intrusion Detection System (IDS)/Intrusion Prevention System (IPS) tools and applications.
Knowledge,K0202,"Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing)."
Knowledge,K0030,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware)."
Knowledge,K0055,Knowledge of microprocessors.
Knowledge,K0163,Knowledge of critical information technology (IT) procurement requirements.
Knowledge,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Knowledge,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Knowledge,K0024,Knowledge of database systems.
Knowledge,K0019,Knowledge of cryptography and cryptographic key management concepts 
Knowledge,K0018,Knowledge of encryption algorithms 
Knowledge,K0285,Knowledge of implementing enterprise key escrow systems to support data-at-rest encryption.
Knowledge,K0104,Knowledge of Virtual Private Network (VPN) security.
Knowledge,K0190,Knowledge of encryption methodologies.
Knowledge,K0308,Knowledge of cryptology.
Knowledge,K0277,"Knowledge of current and emerging data encryption (e.g., Column and Tablespace Encryption, file and disk encryption) security features in databases (e.g. built-in cryptographic key management features)."
Knowledge,K0199,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA])."
Knowledge,K0255,"Knowledge of network architecture concepts including topology, protocols, and components."
Knowledge,K0063,Knowledge of parallel and distributed computing concepts.
Knowledge,K0067,Knowledge of process engineering concepts.
Knowledge,K0291,"Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.)"
Knowledge,K0293,Knowledge of integrating the organization’s goals and objectives into the architecture.
Knowledge,K0100,Knowledge of the enterprise information technology (IT) architecture.
Knowledge,K0056,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML)."
Knowledge,K0065,Knowledge of policy-based and risk adaptive access controls.
Knowledge,K0336,Knowledge of access authentication methods.
Knowledge,K0041,"Knowledge of incident categories, incident responses, and timelines for responses."
Knowledge,K0343,Knowledge of root cause analysis techniques.
Knowledge,K0027,Knowledge of organization's enterprise information security architecture.
Knowledge,K0037,Knowledge of Security Assessment and Authorization process.
Knowledge,K0038,"Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data."
Knowledge,K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)."
Knowledge,K0054,"Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities."
Knowledge,K0203,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model)."
Knowledge,K0295,"Knowledge of confidentiality, integrity, and availability principles. "
Knowledge,K0074,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management)."
Knowledge,K0211,"Knowledge of confidentiality, integrity, and availability requirements."
Knowledge,K0240,Knowledge of multi-level security systems and cross domain solutions.
Knowledge,K0049,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption). "
Knowledge,K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists)."
Knowledge,K0075,"Knowledge of security system design tools, methods, and techniques."
Knowledge,K0112,Knowledge of defense-in-depth principles and network security architecture.
Knowledge,K0045,Knowledge of information security systems engineering principles (NIST SP 800-160).
Knowledge,K0276,Knowledge of security management.
Knowledge,K0152,"Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization)."
Knowledge,K0326,Knowledge of demilitarized zones.
Knowledge,K0053,Knowledge of measures or indicators of system performance and availability.
Knowledge,K0170,Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
Knowledge,K0322,Knowledge of embedded systems.
Knowledge,K0061,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL])."
Knowledge,K0113,"Knowledge of different types of network communication (e.g., LAN, WAN, MAN, WLAN, WWAN)."
Knowledge,K0221,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP)."
Knowledge,K0300,Knowledge of network mapping and recreating network topologies.
Knowledge,K0303,Knowledge of the use of sub-netting tools.
Knowledge,K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services."
Knowledge,K0034,Knowledge of network services and protocols interactions that provide network communications.
Knowledge,K0230,Knowledge of cloud service models and how those models can limit incident response.
Knowledge,K0050,Knowledge of local area and wide area networking principles and concepts including bandwidth management.
Knowledge,K0333,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs."
Knowledge,K0011,"Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware."
Knowledge,K0057,Knowledge of network hardware devices and functions.
Knowledge,K0029,Knowledge of organization's Local and Wide Area Network connections.
Knowledge,K0265,"Knowledge of infrastructure supporting information technology (IT) for safety, performance, and reliability."
Knowledge,K0222,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities."
Knowledge,K0015,Knowledge of computer algorithms.
Knowledge,K0052,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis)."
Knowledge,K0325,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression)."
Knowledge,K0111,"Knowledge of network tools (e.g., ping, traceroute, nslookup) "
Knowledge,K0180,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools."
Knowledge,K0334,"Knowledge of network traffic analysis (tools, methodologies, processes)."
Knowledge,K0116,"Knowledge of file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip)."
Knowledge,K0192,Knowledge of Windows/Unix ports and services.
Knowledge,K0318,Knowledge of operating system command-line tools.
Knowledge,K0281,Knowledge of information technology (IT) service catalogues.
Knowledge,K0320,Knowledge of organization's evaluation and validation criteria.
Knowledge,K0258,"Knowledge of test procedures, principles, and methodologies (e.g., Capabilities and Maturity Model Integration (CMMI))."
Knowledge,K0121,Knowledge of information security program management and project management principles and techniques.
Knowledge,K0084,Knowledge of structured analysis principles and methods.
Knowledge,K0149,Knowledge of organization's risk tolerance and/or risk management approach.
Knowledge,K0263,"Knowledge of information technology (IT) risk management policies, requirements, and procedures."
Knowledge,K0214,Knowledge of the Risk Management Framework Assessment Methodology. 
Knowledge,K0264,"Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements)."
Knowledge,K0081,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model)."
Knowledge,K0082,Knowledge of software engineering.
Knowledge,K0039,Knowledge of cybersecurity and privacy principles and methods that apply to software development.
Knowledge,K0079,Knowledge of software debugging principles.
Knowledge,K0080,"Knowledge of software design tools, methods, and techniques."
Knowledge,K0153,Knowledge of software quality assurance process.
Knowledge,K0178,"Knowledge of secure software deployment methodologies, tools, and practices."
Knowledge,K0286,Knowledge of N-tiered typologies (e.g. including server and client operating systems).
Knowledge,K0205,"Knowledge of basic system, network, and OS hardening techniques."
Knowledge,K0073,"Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org)."
Knowledge,K0227,Knowledge of various types of computer architectures.
Knowledge,K0275,Knowledge of configuration management techniques.
Knowledge,K0323,Knowledge of system fault tolerance methodologies.
Knowledge,K0284,Knowledge of developing and applying user credential management system.
Knowledge,K0035,"Knowledge of installation, integration, and optimization of system components."
Knowledge,K0086,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools."
Knowledge,K0087,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design."
Knowledge,K0102,Knowledge of the systems engineering process.
Knowledge,K0076,"Knowledge of server administration and systems engineering theories, concepts, and methods."
Knowledge,K0092,Knowledge of technology integration processes.
Knowledge,K0028,Knowledge of organization's evaluation and validation requirements.
Knowledge,K0089,Knowledge of systems diagnostic tools and fault identification techniques.
Knowledge,K0290,Knowledge of systems security testing and evaluation methods.
Knowledge,K0091,Knowledge of systems testing and evaluation methods.
Knowledge,K0071,Knowledge of remote access technology concepts.
Knowledge,K0212,Knowledge of cybersecurity-enabled software products.
Knowledge,K0093,"Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing)."
Knowledge,K0274,"Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification (RFID), Infrared Networking (IR), Wireless Fidelity (Wi-Fi). paging, cellular, satellite dishes, Voice over Internet Protocol (VoIP)), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly. "
Knowledge,K0010,"Knowledge of communication methods, principles, and concepts that support the network infrastructure."
Knowledge,K0374,"WITHDRAWN: Knowledge of basic structure, architecture, and design of modern digital and telephony networks. (See K0599)"
Knowledge,K0266,Knowledge of how to evaluate the trustworthiness of the supplier and/or product.
Knowledge,K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks)."
Knowledge,K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored)."
Knowledge,K0297,Knowledge of countermeasure design for identified security risks.
Knowledge,K0254,Knowledge of binary analysis.
Knowledge,K0259,Knowledge of malware analysis concepts and methodologies.
Knowledge,K0151,Knowledge of current and emerging threats/threat vectors.
Knowledge,K0344,Knowledge of an organization’s threat environment.
Knowledge,K0013,Knowledge of cyber defense and vulnerability assessment tools and their capabilities.
Knowledge,K0040,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins)."
Knowledge,K0342,"Knowledge of penetration testing principles, tools, and techniques."
Knowledge,K0301,"Knowledge of packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump)."
Knowledge,K0339,Knowledge of how to use network analysis tools to identify vulnerabilities.
Knowledge,K0062,Knowledge of packet-level analysis.
Knowledge,K0206,Knowledge of ethical hacking principles and techniques.
Knowledge,K0135,Knowledge of web filtering technologies.
Knowledge,K0105,"Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language)."
Knowledge,K0268,Knowledge of forensic footprint identification.
Knowledge,K0236,"Knowledge of how to utilize Hadoop, Java, Python, SQL, Hive, and Pig to explore data."
Knowledge,K0302,Knowledge of the basic operation of computers.
Knowledge,K0020,Knowledge of data administration and data standardization policies.
Knowledge,K0022,Knowledge of data mining and data warehousing principles.
Knowledge,K0083,"Knowledge of sources, characteristics, and uses of the organization’s data assets."
Knowledge,K0095,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)."
Knowledge,K0097,Knowledge of the characteristics of physical and virtual data storage media.
Knowledge,K0195,Knowledge of data classification standards and methodologies based on sensitivity and other risk factors.
Knowledge,K0338,Knowledge of data mining techniques.
Knowledge,K0193,Knowledge of advanced data remediation security features in databases.
Knowledge,K0278,Knowledge of current and emerging data remediation security features in databases.
Knowledge,K0023,"Knowledge of database management systems, query languages, table relationships, and views."
Knowledge,K0069,Knowledge of query languages such as SQL (structured query language).
Knowledge,K0197,"Knowledge of database access application programming interfaces (e.g., Java Database Connectivity [JDBC])."
Knowledge,K0025,Knowledge of digital rights management.
Knowledge,K0201,Knowledge of symmetric key rotation techniques and concepts.
Knowledge,K0031,Knowledge of enterprise messaging systems and associated software.
Knowledge,K0321,Knowledge of engineering concepts as applied to computer architecture and associated computer hardware/software.
Knowledge,K0288,Knowledge of industry standard security models.
Knowledge,K0158,"Knowledge of organizational information technology (IT) user security policies (e.g., account creation, password rules, access control)."
Knowledge,K0292,"Knowledge of the operations and processes for incident, problem, and event management."
Knowledge,K0317,"Knowledge of procedures used for documenting and querying reported incidents, problems, and events."
Knowledge,K0247,"Knowledge of remote access processes, tools, and capabilities related to customer support."
Knowledge,K0315,"Knowledge of the principal methods, procedures, and techniques of gathering information and producing, reporting, and sharing information."
Knowledge,K0064,Knowledge of performance tuning tools and techniques.
Knowledge,K0137,"Knowledge of the range of existing networks (e.g., PBX, LANs, WANs, WIFI, SCADA)."
Knowledge,K0174,Knowledge of networking protocols.
Knowledge,K0228,Knowledge of taxonomy and semantic ontology theory.
Knowledge,K0283,"Knowledge of use cases related to collaboration and content synchronization across platforms (e.g., Mobile, PC, Cloud)."
Knowledge,K0238,Knowledge of machine learning theory and principles.
Knowledge,K0207,Knowledge of circuit analysis.
Knowledge,K0103,Knowledge of the type and frequency of routine hardware maintenance.
Knowledge,K0129,"Knowledge of command-line tools (e.g., mkdir, mv, ls, passwd, grep)."
Knowledge,K0271,"Knowledge of operating system structures and internals (e.g., process management, directory structure, installed applications)."
Knowledge,K0242,Knowledge of organizational security policies.
Knowledge,K0330,Knowledge of successful capabilities to identify the solutions to less common and more complex system problems.
Knowledge,K0172,"Knowledge of middleware (e.g., enterprise service bus and message queuing)."
Knowledge,K0229,"Knowledge of applications that can log errors, exceptions, and application faults and logging."
Knowledge,K0299,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes."
Knowledge,K0088,Knowledge of systems administration concepts.
Knowledge,K0294,"Knowledge of IT system operation, maintenance, and security needed to keep equipment functioning properly."
Knowledge,K0237,Knowledge of industry best practices for service desk.
Knowledge,K0280,"Knowledge of systems engineering theories, concepts, and methods."
Knowledge,K0346,Knowledge of principles and methods for integrating system components.
Knowledge,K0289,Knowledge of system/server diagnostic tools and fault identification techniques.
Knowledge,K0094,"Knowledge of the capabilities and functionality associated with content creation technologies (e.g., wikis, social networking, content management systems, blogs)."
Knowledge,K0096,"Knowledge of the capabilities and functionality of various collaborative technologies (e.g., groupware, SharePoint)."
Knowledge,K0136,"Knowledge of the capabilities of different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts)."
Knowledge,K0138,Knowledge of Wi-Fi.
Knowledge,K0159,Knowledge of Voice over IP (VoIP).
Knowledge,K0269,Knowledge of mobile communications architecture.
Knowledge,K0171,Knowledge of hardware reverse engineering techniques.
Knowledge,K0175,Knowledge of software reverse engineering techniques.
Knowledge,K0272,Knowledge of network analysis tools used to identify software communications vulnerabilities.
Knowledge,K0310,Knowledge of hacking methodologies.
Knowledge,K0176,Knowledge of Extensible Markup Language (XML) schemas.
Knowledge,K0361,"Knowledge of asset availability, capabilities and limitations."
Knowledge,K0353,Knowledge of possible circumstances that would result in changing collection management authorities.
Knowledge,K0584,Knowledge of the organizational policies/procedures for temporary transfer of collection authority.
Knowledge,K0448,Knowledge of how to establish priorities for resources.
Knowledge,K0601,Knowledge of the systems/architecture/communications used for coordination.
Knowledge,K0605,"Knowledge of tipping, cueing, mixing, and redundancy."
Knowledge,K0568,Knowledge of the definition of collection management and collection management authority.
Knowledge,K0412,Knowledge of cyber lexicon/terminology
Knowledge,K0587,"Knowledge of the POC’s, databases, tools and applications necessary to establish environment preparation and surveillance products."
Knowledge,K0493,"Knowledge of obfuscation techniques (e.g., TOR/Onion/anonymizers, VPN/VPS, encryption)."
Knowledge,K0356,"Knowledge of analytic tools and techniques for language, voice and/or graphic material."
Knowledge,K0382,Knowledge of collection capabilities and limitations.
Knowledge,K0383,"Knowledge of collection capabilities, accesses, performance specifications, and constraints utilized to satisfy collection plan."
Knowledge,K0386,Knowledge of collection management tools.
Knowledge,K0387,Knowledge of collection planning process and collection plan.
Knowledge,K0390,Knowledge of collection strategies.
Knowledge,K0401,Knowledge of criteria for evaluating collection products.
Knowledge,K0404,Knowledge of current collection requirements.
Knowledge,K0467,"Knowledge of internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities)."
Knowledge,K0482,Knowledge of methods for ascertaining collection asset posture and availability.
Knowledge,K0492,Knowledge of non-traditional collection methodologies.
Knowledge,K0505,Knowledge of organization objectives and associated demand on collection management.
Knowledge,K0522,Knowledge of production exploitation and dissemination needs and architectures. 
Knowledge,K0558,Knowledge of the available tools and applications associated with collection requirements and collection management.
Knowledge,K0562,"Knowledge of the capabilities and limitations of new and emerging collection capabilities, accesses and/or processes."
Knowledge,K0569,"Knowledge of the existent tasking, collection, processing, exploitation and dissemination architecture."
Knowledge,K0421,"Knowledge of databases, portals and associated dissemination vehicles."
Knowledge,K0602,Knowledge of collection disciplines and capabilities.
Knowledge,K0391,"Knowledge of collection systems, capabilities, and processes. "
Knowledge,K0364,Knowledge of available databases and tools necessary to assess appropriate collection tasking.
Knowledge,K0419,Knowledge of database administration and maintenance.
Knowledge,K0454,Knowledge of information needs.
Knowledge,K0503,"Knowledge of organization formats of resource and asset readiness reporting, its operational relevance and intelligence collection impact."
Knowledge,K0384,"Knowledge of collection management functionality (e.g., positions, functions, responsibilities, products, reporting requirements)."
Knowledge,K0355,Knowledge of all-source reporting and dissemination procedures.
Knowledge,K0488,"Knowledge of network security implementations (e.g., host-based IDS, IPS, access control lists), including their function and placement in a network."
Knowledge,K0491,"Knowledge of networking and Internet communications fundamentals (i.e. devices, device configuration, hardware, software, applications, ports/protocols, addressing, network architecture and infrastructure, routing, operating systems, etc.). "
Knowledge,K0552,Knowledge of tasking mechanisms.
Knowledge,K0553,Knowledge of tasking processes for organic and subordinate collection assets.
Knowledge,K0580,Knowledge of the organization’s established format for collection plan.
Knowledge,K0577,"Knowledge of the intelligence frameworks, processes, and related systems."
Knowledge,K0358,Knowledge of analytical standards and the purpose of intelligence confidence levels.
Knowledge,K0456,Knowledge of intelligence capabilities and limitations.
Knowledge,K0459,"Knowledge of intelligence employment requirements (i.e., logistical, communications support, maneuverability, legal restrictions, etc.)."
Knowledge,K0463,Knowledge of intelligence requirements tasking systems.
Knowledge,K0595,"Knowledge of the relationships of operational objectives, intelligence requirements, and intelligence production tasks."
Knowledge,K0359,Knowledge of approved intelligence dissemination processes.
Knowledge,K0532,"Knowledge of specialized target language (e.g., acronyms, jargon, technical terminology, code words)."
Knowledge,K0571,Knowledge of the feedback cycle in collection processes.
Knowledge,K0521,"Knowledge of priority information, how it is derived, where it is published, how to access, etc."
Knowledge,K0526,Knowledge of research strategies and knowledge management.
Knowledge,K0554,"Knowledge of tasking, collection, processing, exploitation and dissemination."
Knowledge,K0588,"Knowledge of the priority information requirements from subordinate, lateral and higher levels of the organization."
Knowledge,K0524,"Knowledge of relevant laws, regulations, and policies."
Knowledge,K0564,"Knowledge of the characteristics of targeted communication networks (e.g., capacity, functionality, paths, critical nodes)."
Knowledge,K0495,Knowledge of ongoing and future operations.
Knowledge,K0496,Knowledge of operational asset constraints.
Knowledge,K0498,Knowledge of operational planning processes.
Knowledge,K0563,"Knowledge of the capabilities, limitations and tasking methodologies of internal and external collections as they apply to planned cyber activities."
Knowledge,K0591,Knowledge of the production responsibilities and organic analysis and production capabilities.
Knowledge,K0416,Knowledge of cyber operations.
Knowledge,K0425,"Knowledge of different organization objectives at all levels, including subordinate, lateral and higher."
Knowledge,K0477,Knowledge of leadership's Intent and objectives.
Knowledge,K0513,"Knowledge of organizational priorities, legal authorities and requirements submission processes."
Knowledge,K0579,"Knowledge of the organization, roles and responsibilities of higher, lower and adjacent sub-elements."
Knowledge,K0581,"Knowledge of the organization’s planning, operations and targeting cycles."
Knowledge,K0583,Knowledge of the organizational plans/directives/guidance that describe objectives.
Knowledge,K0517,Knowledge of post implementation review (PIR) approval process.
Knowledge,K0578,Knowledge of the intelligence requirements development and request for information processes.
Knowledge,K0407,Knowledge of customer information needs.
Knowledge,K0527,Knowledge of risk management and mitigation strategies.
Knowledge,K0396,"Knowledge of computer programming concepts, including computer languages, programming, testing, debugging, and file types. "
Knowledge,K0575,Knowledge of the impacts of internal and external partner staffing estimates.
Knowledge,K0539,"Knowledge of target communication profiles and their key elements (e.g., target associations, activities, communication infrastructure)."
Knowledge,K0540,Knowledge of target communication tools and techniques.
Knowledge,K0541,"Knowledge of target cultural references, dialects, expressions, idioms, and abbreviations."
Knowledge,K0545,Knowledge of target language(s).
Knowledge,K0380,Knowledge of collaborative tools and environments.
Knowledge,K0476,Knowledge of language processing tools and techniques.
Knowledge,K0596,Knowledge of the request for information process. 
Knowledge,K0453,Knowledge of indications and warning.
Knowledge,K0474,Knowledge of key cyber threat actors and their equities.
Knowledge,K0475,Knowledge of key factors of the operational environment and threat.
