,job_title,role,description
292,Identity and Access Management (IdAM) Systems Engineer,engineer,description job description seeking career sense purpose life balance growth opportunity place leidos leidos committed making world safer healthier efficient technology engineering science would valued member global team providing service across civil defense health intelligence business line leidos team member career development flexibility priority supported consistent leadership engagement experienced human relation staff numerous employee support program use unique talent make immediate enterprise cyber solution e c operation within leidos defense group seeking identity access management system engineer responsible upkeep configuration reliable operation computer system support compartmented enterprise service office ceso noc identity access management system engineer contribute deployment maintenance idam solution serve comprehensive identity service idaas platform ceso primary responsibility design develop maintain comprehensive idaas solution based okta identity access management platform identity access management governance include single sign identity federation enterprise directory architecture design resource provisioning okta preferred demonstrate advanced understanding business process internal control risk management control related standard identify evaluate complex business technology risk internal control mitigate risk related opportunity internal control improvement understand complex business information technology management process responsible install integrate deploy okta product client environment communicate client partner aspect product implementation technical functional level appropriate situation identity access management team continue making enhancement identity access management program closely development team perform user management group management password management request create maintain identify access management metric document various system access user store centralized repository cmbd support effort regarding audit finding adherence compliance organizational change responsible working resolve okta system issue escalated within service level agreement ability create modify conops standard operating procedure document basic qualification b computer science year add l may considered lieu degree iat level ii baseline certification ccna security gicsp gsec ce cnd sscp candidate must posse active clearance ability obtain maintain ci poly knowledge identity access management platform excellent written oral communication skill ability effectively technical audience demonstrated ability complex fast paced environment preferred qualification prior experienced disa disa support mission partner poly preferred active directory identity lifecycle oracle identity manager idm platform federation protocol saml oauth openid zero trust principle gsmo pay range pay range leidos pay range job level general guideline guarantee compensation salary additional factor considered extending offer include limited responsibility job education knowledge skill ability well internal equity alignment market data applicable bargaining agreement law apply click apply show le
293,Cybersecurity Engineer,engineer,deliver customer peace mind every day helping protect value passion placing customer center everything driving transformational shift liberty mutual right opportunity principal cybersecurity engineer join global cybersecurity identity access management team develop next generation role based access management service liberty mutual continues strengthen leadership position industry launched new program advance customer focused technology increase competitive advantage job cybersecurity engineer global cybersecurity crucial role transformation working security scrum team successful candidate evaluate necessary build innovate access management solution help strengthen cybersecurity posture role would responsible providing technology leadership oversight specification development implementation cybersecurity solution specifically role based access management solution secure administrative privileged access enable enterprise securely manage access also modernizing legacy solution modern technology azure aws minimize risk improve user responsibility design develop configure access management solution microsoft identity using azure rbac knowledge azure role manager manager mim azure portal aws iam microsoft privileged identity manager pim participate unit test case development develops highly complex test script conduct impact analysis threat model support production support transition implementation phase responsible overall success project within project team develop iterative development delivers product support interaction customer development team gather define requirement develops lead production support documentation lead quality assurance architecture design guide review defect discrepancy requirement identified resolved appropriate partner plan appropriately effectively communicates responds identify implement appropriate continuous improvement opportunity responsible system analysis design coding testing debugging documentation responsible quality assurance review may provide mentorship new engineer team desired skill proven leadership coaching mentoring development automation tool including springboot java html powershell bamboo jenkins splunk cyberark aws microsoft identity manager mim microsoft privileged identity manager pim understanding authentication pattern saml wsfed oauth oidc wam common cloud service aws azure google cloud rest api developing using source code version control system like git subversion including branching merging managing code developing end end application fully scaled agile environment including jira safe qualification qualification bachelor degree technical discipline equivalent technical degree preferred generally year professional highly proficient software engineering language tool ability develop multiple platform strong negotiation facilitation consensus building skill strong oral written communication skill presentation skill extensive knowledge following concept strategy methodology versed diverse technology new technical architecture principle concept extensive knowledge layered system architecture solution design shared software concept business function industry business issue extensive knowledge business operation strategy objective strong multiple programming language tool extensive understanding agile software development concept process must proactive demonstrate initiative logical thinker extensive consultative skill including ability understand apply customer requirement including drawing unforeseen implication making recommendation design ability define design reasoning understanding potential impact design requirement extensive understanding backlog tracking burndown metric incremental delivery strong collaboration prioritization adaptability skill required liberty mutual purpose help people embrace today confidently pursue tomorrow provide environment focused openness inclusion trust respect discover expansive range role workplace aim help turn passion rewarding profession liberty mutual proudly recognized great place great place u past several year also selected one best place idg insider pro computerworld list many year running named forbes one america best employer woman one america best employer new well one america best employer diversity learn commitment diversity inclusion please visit http value hard integrity commitment make thing better put people first offering benefit support life learn benefit offering please visit http liberty mutual equal opportunity employer tolerate discrimination basis race color national origin sex sexual orientation gender identity religion age disability veteran status pregnancy genetic information basis prohibited federal state local law apply job click apply show le
294,Identity and Access Management Engineer,engineer,identity access management engineer global technology leader seeking identity access management engineer full time role role hybrid qualification unix secruity agile methodology scripting bash powershell perl sql apply please send resume max max liberty personnel service feheley drive king prussia pa ext fax max show le
295,"Associate Engineer II, Identity and Access Management",engineer,lululemon innovative performance apparel company yoga running training athletic pursuit setting bar technical fabric functional design create transformational product support people moving growing connecting well owe success innovative product emphasis store commitment people incredible connection make every community company focus creating positive change build healthier thriving future particular includes creating equitable inclusive environment people team lululemon identity access management iam team within cybersecurity provides service global enterprise seek efficiency innovation order facilitate rapid change scalability maturity core security service modernizing lululemon environment iam portfolio encompasses planning design implementation maintenance support continuous improvement identity access service currently searching associate engineer join operation team day life operation group play important role organization providing great user collaborating continuously improving service following security heart provide stellar user stakeholder support iam solution process iam operation ticket queue request incidence process jira project ticket assigned actively monitor data integration data quality correcting issue arise escalating support needed investigate remediate action alert conduct rootcause use case analysis collaborating support needed complete coordinate iam system maintenance patching upgrade conduct reporting data activity qualification year related operation analyst good understanding management security best practice iam tool sailpoint identityiq delinea thycotic azure active directory active directory preferred familiarity workstream tool service jira confluence plus ability manage complete multiple task environment well organized detail oriented analytical thinker collaborative team player closely iam team must acknowledges presence choice every moment take personal responsibility life posse entrepreneurial spirit continuously innovates achieve great result communicates honesty kindness creates space others lead courage knowing possibility greatness bigger fear failure foster connection putting people first building trusting relationship integrates fun joy way working aka take seriously note applicant consideration contacted please accept utmost appreciation interest lululemon equal employment opportunity employer employment decision based merit business need race color creed age sex gender sexual orientation national origin religion marital status medical condition physical mental disability military service pregnancy childbirth related medical condition classification protected federal state provincial local law ordinance reasonable accommodation available qualified individual disability upon request equal employment opportunity policy applies practice relating recruitment hiring compensation benefit discipline transfer termination term condition employment management primarily responsible seeing lululemon equal employment opportunity policy implemented share responsibility assuring personal action policy effective apply job click apply show le
296,Identity and Access Management Engineer (Remote),engineer,new digital bank mission statement join u mission create completely new digital bank truly serf customer best interest team seasoned financial service professional came together challenge building bank scratch committed right way technology infrastructure modern marketing customer flexibility speed also significant stability capital part smbc group sumitomo mitsui banking corporation smbc largest bank japan largest bank world operation country smbc committed disrupting u marketplace product best world seeking proven marketing leader propel u towards national launch ambitious growth plan capital necessary execute plan join u journey deliver exciting concept evolved banking job summary jenius bank currently seeking engineer join identity access management adding growing cybersecurity team role responsible developing driving critical access control development implementation maintenance ensuring effective access control across company user type corporate privileged business business commercial principal duty responsibility lead development maintenance core identity platform enables jenius bank conduct business build team succeed scaled agile environment meet need jenius bank customer business partner collaborates architecture service development application development team building access control interactive user logins well security application application communication sustains highly available resilient identity platform application modern technology service management principle driver secure adoption modern application architecture deployment model stakeholder application modernization cloud adoption program support development strategy vision roadmap implementation authentication authorization identity governance control develops strong working relationship leader information technology organization providing continuous assistance thought leadership establishes maintains relationship supplier business partner iam industry educates coach mentor team technical company policy procedure topic establish maintain access control company azure gcp platform show le
297,"IAM Engineer( Saviynt, Sailpoint, ForgeRock AM )",engineer,job description title cyber iam engineer skill good understanding identity access management platform framework function good understanding iam suite product saviynt sailpoint forgerock good designing implementing supporting maintaining iam platform implementation using saviynt forgerock virtual environment developing integration process onboarding new application service stakeholder meeting confirm design collaborating integration supporting user acceptance testing working model job type contract pay per hour schedule monday friday cyber iam engineer year preferred cybersecurity saviynt sailpoint forgerock year preferred model year preferred location remote show le
298,Lead Software Engineer - Identity and Access Management (IAM),engineer,purpose connect power inclusive digital economy benefit everyone everywhere making transaction safe simple smart accessible using secure data network partnership passion innovation solution help individual financial institution government business realize greatest potential decency quotient dq drive culture everything inside outside company cultivate culture inclusion employee respect individual strength view believe difference enable u better team one make better decision drive innovation delivers better business result job title lead software engineer identity access management iam overview identity access management team responsible providing service support internal employee external customer capability retrieve access mastercard system application identity access engineering team within corporate security focused onboarding new cutting edge technology within identity access management space enhancing existing identity access service automation executing strategy access enabler business need purpose job technical lead team focused delivering new enhanced identity access initiative employee position includes partnering project manager implementation technical solution detailing cost time estimate initiative mentoring junior team member phase software development lifecycle ensuring compliance audit requirement proactively role partner technical implementation effort new product service strong communication impacted business owner software design architecture house vendor security product working vendor implement scalable solution solution architecture design develop simple usable service enabled maintainable scalable security solution meet business requirement comply information security policy prioritize identify cross application system enhancement lead review session technical requirement manage defect resolution process partner peer business operation bizops internal identity access management team ensure delivery service aligns governance control support requirement responsible ensuring operational readiness platform review procedure planning testing implementation management responsible lead team deliver global project working regional office responsible coordinating one group ensure platform goal met develops plan improve quality within identity access management system platform research new methodology improve security development practice proactive ability function pressure independent environment also part highly productive team successful track record software development security engineering intermediate skill api intermediate exposure python intermediate risk taking corporate security skill specifically identity access management security engineering plus corporate security skill specifically pki key management plus intermediate skill agile regulatory compliance pci plus intermediate technical background window unix database network web application ssh protocol dealing difficult situation making decision sense urgency coaching junior developer exposure cyberark pam solution plus exposure rsa igl plus devops tool jenkins chef plusin u mastercard inclusive equal employment opportunity employer considers applicant without regard gender gender identity sexual orientation race ethnicity disabled veteran status characteristic protected law require accommodation assistance complete online application process please contact identify type accommodation assistance requesting include medical health information email reasonable accommodation team respond email promptly corporate security responsibility activity involving access mastercard asset information network come inherent risk organization therefore expected every person working behalf mastercard responsible information security must abide mastercard security policy practice ensure confidentiality integrity information accessed report suspected information security violation breach complete periodic mandatory security training accordance mastercard guideline apply job click apply show le
299,Customer Identity Access Management (IAM) Engineer,engineer,seeking customer identity access management iam engineer dallas detroit metro remote direct hire opportunity customer identity access management engineer responsible design develop deploy comprehensive solution based business need role function forward thinking engineer administrator solve complex day day problem person need collaboratively iam team cross domain team ideal candidate need strong background single sign integration okta idp strong understanding managing user identity user access system resource based customer iam best practice also need background fraud detection prevention technique able adapt new iam tool application development framework customer identity access management team operates devops automation tool position responsibility design methodology closely business unit application team infrastructure area vendor identity review evaluate solution requirement investigate propose strategic fit virtualization consolidation rationalization solution opportunity within infrastructure business propose change technical design solution applicable evaluate align strategic fit solution across platform solution specific system hardware software technology understand participate review influence long term capacity planning technology investment technical consulting provide client consulting planning guidance applicable moderate complex project provide consultation closely functional infrastructure multiple initiative meet common goal objective participate provides consulting project team architectural design development integration opportunity planning complex system planning organizing map requirement standard service solution identity opportunity integrating existing reuse technology provide cost effective solution moderate large highly complex review identify manage requirement moderate complex solution cost value feasibility risk analysis risk management review participate develop update architectural standard guiding principle rationale strategy evaluate review approve highly complex design solution business infrastructure project program initiative administration keep management informed status activity accurate timely appropriate reporting actively participate committee representing department planning unit position qualification bachelor degree computer science engineering technology related field equivalent combination education technology year technology year technology year identifying technical solution complex business problem identifying benefit risk solution providing recommendation year application development using java spring boot framework year restful web service year automation tool like terraform ansible docker year okta identity access management product year oidc protocol position eligible sponsorship must indefinite employment authorization equal employment opportunity matrix committed providing environment value diversity equity inclusion respect discriminate based upon race religious creed color national origin ancestry physical mental disability medical condition genetic information marital status including registered domestic partnership status sex including pregnancy childbirth lactation related medical condition gender including gender identity expression age sexual orientation military veteran status characteristic protected federal state local law matrix committed providing access reasonable accommodation qualified individual disability supporting medical religious documentation required applicable qualified individual disability may request reasonable accommodation american disability act ada emailing ensure quick response request please use word accommodation request subject line email hourly contract role matrix offer highly competitive benefit package including medical dental vision life disability hsa k pre option please see information direct hire placement client benefit offered accordance particular client offering may include pto medical dental vision pre option show le
300,Manual QA Engineer - 100% REMOTE,engineer,level manual qa remote client located northeast atlanta looking hire manual qa engineer growing team client business year strong technology foundation excellent leadership highly collaborative culture role responsible writing executing test case supporting transaction processing backend system customer facing web application etl application part agile development team responsibility write maintain perform test scenario suite new development change assist managing incoming bug ensuring bug entered adequate information assist release management participate requirement gathering requirement analysis requirement documentation assist writing revising user manual release note leverage sql query tool relational database development team ensure quality timely delivery achieved ability effectively maintaining accuracy sensitivity tight timeline schedule ability sense importance impact issue situation take appropriate action effectively team player accomplish company goal skill needed requirement qa methodology manual software testing strong attention detail mature analytical organizational skill demonstrated sql proficiency ability retain knowledge deep business rule focused system testing application backend business logic excellent written verbal communication skill nice proficiency development environment testing apis etl process working environment automation toolchains automated build deployment prior healthcare application perk great benefit sound leadership collaborative team excellent growth opportunity working home office please send detailed resume linkedin profile today equal employment opportunity matrix committed providing environment value diversity equity inclusion respect discriminate based upon race religious creed color national origin ancestry physical mental disability medical condition genetic information marital status including registered domestic partnership status sex including pregnancy childbirth lactation related medical condition gender including gender identity expression age sexual orientation military veteran status characteristic protected federal state local law matrix committed providing access reasonable accommodation qualified individual disability supporting medical religious documentation required applicable qualified individual disability may request reasonable accommodation american disability act ada emailing ensure quick response request please use word subject line email hourly contract role matrix offer highly competitive benefit package including medical dental vision life disability hsa k pre option please see information direct hire placement client benefit offered accordance particular offering may include pto medical dental vision pre
301,SailPoint Engineer,engineer,mbl technology offer diverse set technology management consulting service federal government commercial market custom solution tailored support client mission accounting unique need operating environment maximize effectiveness ensure success bring right people capability bear enable informed solution deliver client value necessary enable mission u trust empower believe employee soar fullest potential micromanaging offer robust benefit package medical dental vision std accident life hospital insurance fsa hsa match professional development stipend love fun give back community community service employee engagement event atop calendar event genuinely like champion everyone achieve greatness currently hiring sailpoint engineer support customer washington dc position fully remote require occasional onsite meeting client job responsibility develop maintain code script scheduled task control identity lifecycle design build new solution well identify improvement existing deployment design configure maintain upgrade highly availability sailpoint identityiq iiq solution configure administer identityiq identity governance compliance user provisioning using sailpoint connector create correlating task using identity attribute various solution evaluate data quality using identityiq reporting searching functionality implement lifecycle manager lcm configuration workflow task model business function lifecycle request role entitlement account password lifecycle event joiner mover leaver lcm workflow detail workflow sub process suggest create birthright business role using sailpoint role mining create process supporting identityiq certification campaign implement servicenow integration utilize tool available onboarding troubleshooting working sailpoint support administrator console advanced analytics identityiq console debug page required skill qualification strong knowledge sailpoint including feature integration architecture ability communicate sailpoint implementation functional technical level working identity governance role facilitate identity access management iam practice include entitlement certification joiner mover leaver workflow continuous monitoring working platform aws azure coding identity management solution using java beanshell xml utilizing advanced authentication ability client facing environment adaptable ready learn wide range technology used implement cloud security ability follow established software development standard procedure contribute towards improvement mbl technology offer competitive salary adjusted candidate qualification partnered benefit package package includes incentive plan corporate performance bonus pto remote health wellness program employee discount learning development reimbursement mbl technology equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin sexual orientation gender identity disability protected veteran status show le
302,Identity and Access Management (IAM) Solution Engineer,engineer,job title identity access management iam solution engineer salaried hour per week job summary looking experienced identity access management iam solution engineer strong people skill help lead development deployment standard service pertaining identity lifecycles entitlement credential access management extensive knowledge designing developing deploying maintaining identity access management solution large complex environment may right position directly reporting director application architecture operation strategic partner closely ciso university leader position key principal success university iam strategy miami university offer engaging environment premier higher education institution exceptional benefit package plus many support resource help employee balance professional personal life demand iam system configuration administration integration participate lead delivery iam system component including installation configuration integration investigate resolve issue identity data aggregation data management credential provisioning access provisioning account claim onboarding notification password management enterprise authentication support client operation base producing user operational documentation iam activity partner client develop deliver iam data report iam governance lead iam stakeholder system enhancing requirement review future state planning support operation team develop maintain detailed technical design document iam solution including data mapping workflow iam solution configuration coordinate stakeholder prioritization enhancement change iam system coach member organization good practice regarding identity data access control minimum qualification bachelor degree earned date hire year relevant associate degree earned date hire year relevant year relevant position available person currently authorized united state indefinite basis person authorized basis include u citizen lawful permanent resident green card holder asylees refugee temporary resident irca desired qualification bachelor degree computer science information technology cybersecurity related field year designing deploying identity access solution complex environment identity access management technical knowledge following area identity data extraction transformation user authentication single sign identity federation enterprise directory design administration identity credential access provisioning deprovisioning identity access governance including access control rbac access request certification higher education information technology knowledge information security regulation standard process leading engagement iam stakeholder including facilitating discovery session identifying resolving iam issue improving iam process coaching iam process participant expectation best practice including creating communication documentation knowledge skill ability see minimum qualification special instruction applicant prospectus see miami university prospectus position approved remotely preference hire someone resides ohio indiana kentucky however candidate reside outside state state residency evaluated employment diversity statement miami university committed creating inclusive effective teaching learning research working environment information miami university diversity initiative please visit office institutional diversity inclusion webpage information miami university mission core value please visit mission core value webpage act miami university equal action employer encourages application minority woman protected veteran individual disability miami university prohibits harassment discrimination retaliation basis age year older color disability gender identity expression genetic information military status national origin ancestry pregnancy race religion status parent foster parent sexual orientation protected veteran status application admission process educational program activity facility program employment practice request reasonable accommodation disability related employment directed adafacultystaff part university commitment maintaining healthy safe living learning working environment encourage read miami university annual security fire safety report http contains information campus safety crime statistic drug alcohol abuse prevention program designed prevent unlawful possession use distribution drug alcohol campus university event activity report also contains information program policy designed prevent address sexual violence domestic violence dating violence stalking year email notification website made faculty staff enrolled student written notification also provided prospective student employee hard copy annual security fire safety report may obtained miami university police department labor law poster applicant miami university committed providing information department labor applicant employment find link current information regarding family medical leave act fmla equal employment opportunity eeo employee polygraph protection act eppa benefit eligible yes show le report
303,ISD Engineer II/III (Customer Identity Access Management),engineer,life mission possible goal dream hobby thing passionate important important u looking people want meaningful challenging keep skill sharp move ahead also take time thing matter family passion looking team member passionate difference military member family life together make happen take word military time best vet employer wayup top internship program best employer new grad america best employer newsweek top loved workplace people company care fortunebest workplace woman best company fortunebest workplace millennials best place basic purpose research evaluate design implement maintain system product solution applying knowledge engineering principle related client identity access authorization authentication iam provide technical direction engineering support project infrastructure build iam solution develop maintain working knowledge evolving engineering industry vendor concept trend directly related identity authorization authentication business client navy federal online banking channel responsibility administer provide support iam application rsa daon forgerock ping azure siteminder component policy server database directory setup configure manage policy server web agent secure proxy server federation full project management establish lead project team develop project procure manage understand risk issue change management process ensure successful project implementation apply engineering principle design enhancement new existing system document new system component modification existing component ensure security integrity system product solution including compliance navy federal industry engineering information security principle practice perform engineering task assignment support business need perform engineering technology research procurement deployment configuration new modified system present clear organized concise information audience variety medium enable effective business decision perform duty assigned qualification bachelor degree business administration information technology equivalent combination training education employee client level identity access management tool familiarity engineering discipline iam application rsa daon forgerock ping azure siteminder component policy server database directory effective database presentation software skill effective organizational planning time management skill effective research analytical skill effective skill exercising initiative using good judgment make sound decision effective knowledge data security practice procedure including system analysis authentication technology access control priority given effective knowledge skill system administration scripting identity federation saml jboss directory strong research analytical skill strong verbal written interpersonal communication skill including proficiency negotiating persuading others desired qualification agile methodology safe multiple authentication protocol including saml oauth openid ping identity product azure active directory federation knowledge financial industry daon identityx platform ca siteminder component policy server database directory azure kubernetes docker service hour monday friday location follin lane vienna va heritage oak dr pensacola fl security winchester va remote navy federal hybrid standard enterprise requirement hybrid schedule report onsite day month number day reporting onsite ultimately determined employee leadership business unit need learn throughout hiring onboarding process salary navy federal credit union market data establish salary range enable u remain competitive paid within salary range based location market position salary range position annual equal employment opportunity navy federal value celebrates enacts diversity workplace navy federal take affirmative action employ advance employment qualified individual disability disabled veteran armed force service medal veteran recently separated veteran protected veteran safety protocol employee expected follow safety protocol disclaimer navy federal reserve right fill role grade level based business need assessment may required compete position bank secrecy act remains cognizant adheres navy federal policy procedure regulation pertaining bank secrecy act employee referral position eligible talentquest employee referral program employee referred job please apply using link sent start job application click apply show le
304,Identity and Access Management Engineer,engineer,opportunity reporting directly chief information security office ciso role contributes identity access management program northeastern university global campus system responsible contributing iam component design iam service development service integration implementation operation university wide iam service faculty staff student parent alumnus vendor university technology partner iam engineer knowledgeable demonstrable following modern approach iam microsoft oauth openid saml expert knowledge identity provisioning iga saviynt access control methodology background team success matter much mission learn flexible highly dynamic culture position eligible remote qualification minimum education skill required perform job successfully bachelor degree information system computer science equivalent combination education five year professional preferably within domain area identity access management expert knowledge microsoft directory saml strong focus access control via information security issue affecting educational entity application service provider ability computer system business process security risk excellent interpersonal communication presentation skill including formal report writing working agile team preferred qualification coding python groovy transfer manipulate identity data accomplish process automation saviynt iga platform grouper shibboleth key responsibility responsible technical delivery integration authentication authorization identity provisioning identity governance administration iga solution across university system audience type application without direct supervision perform task required ensure customer satisfaction departmental sla achieved provide tier support customer service provided department provide accurate effective documentation issue problem provide training documentation tier support department team member emerging issue responsible iam system production support may require outside regular hour needed position type information technology additional information northeastern university equal opportunity employer seeking recruit support broadly diverse community faculty staff northeastern value celebrates diversity form strives foster inclusive culture built respect affirms relation build cohesion qualified applicant encouraged apply receive consideration employment without regard race religion color national origin age sex sexual orientation disability status characteristic protected applicable law learn northeastern university commitment support diversity inclusion please see show le report
305,"Staff Engineer, Air Vehicle Configuration Design and Integration",engineer,requisition id category engineering location redondo beach california united state america citizenship required united state citizenship clearance type secret telecommute teleworking available position shift shift united state america travel required yes time position available northrop grumman employee incredible opportunity revolutionary system impact people life around world today generation come pioneering inventive spirit enabled u forefront many technological advancement nation history first flight across atlantic ocean stealth bomber landing moon look people bold new idea courage pioneering spirit join force invent future fun along way culture thrives intellectual curiosity cognitive diversity bringing whole self insatiable drive others think impossible employee part history making history ideal candidate posse strong background design air vehicle practical development new vehicle concept including relating conceptual vehicle air vehicle integration parametric modeling optimization surface design loft successful selected individual must also solid grasp basic concept within field aerodynamics aircraft performance sizing propulsion cfd structural design mass property analysis addition selected individual posse senior level knowledge air vehicle maturation process concept design flight test embrace knowledge transfer working junior engineer mature technical skill essential function lead configuration design integration team development design multiple advanced air vehicle concept supporting statement parallel develop parametric cad model support conceptual vehicle sizing study advanced unmanned air vehicle lead vehicle design trade study task conjunction multiple team member working solve complex vehicle design challenge participate knowledge transfer training junior teammate selected candidate thrive environment high expectation significantly diverse assignment setting across level basic qualification staff engineer bachelor degree stem science technology engineering mathematics discipline accredited university year stem related engineering master degree stem discipline year stem phd year year supporting design modeling advanced air vehicle concept demonstrated proficiency industry standard design tool siemens nx catia proe cad demonstrated proficiency office good technical writing skill ability communicate present technical material various stakeholder current active dod secret security clearance higher ability obtain special program access sap preferred qualification bachelor master degree aeronautical aerospace engineering preferred year configuration design advanced air vehicle including low observable aircraft conceptual vehicle design across subsonic supersonic hypersonic flight regime knowledge relating design principle used low observable vehicle excellent communication interpersonal skill ability interface level employee management salary range usd usd employee may eligible discretionary bonus addition base pay annual bonus designed reward individual contribution well allow employee share company result employee vice president director position may eligible long term incentive addition northrop grumman provides variety benefit including health insurance coverage life disability insurance saving plan company paid holiday paid time pto vacation personal business health safety employee family top priority company encourages employee remain vaccination northrop grumman employee may required future vaccinated approved religious accommodation pursuant future court decision government action currently stayed federal contractor vaccine mandate executive order http northrop grumman committed hiring retaining diverse workforce proud equal action employer making decision without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class complete pay transparency statement please visit http citizenship required position apply click apply show le report
306,Software Engineer,engineer,paypal nasdaq pypl believe every person right participate fully global economy mission democratize financial service ensure everyone regardless background economic standing access affordable convenient secure product service take control financial life job description summary global compliance customer verification platform build maintains leading state art platform caters anti money laundering tax related regulatory requirement paypal comply country operate goal build next gen regtech platform seamlessly across multiple geography delivering kyc tax solution paypal direct customer adjacency come join u part global team ensures paypal compliant local global regulator software engineer compliance platform part scrum team engineer product owner deliver solution scalable backend platform job description software engineer compliance platform part scrum team engineer product owner deliver solution scalable backend platform responsibility participate design development one product feature develop code sufficiently supported unit functional integration test develop maintain technical documentation participate design discussion understand solution system product change within team collaborate team feature integration participate peer code review triage mitigate production issue participate scrum team ceremony requirement year following area java design development design implementation microservices architecture principle soa event driven large scale system strong skill server side java spring springboot hibernate rest maven github open source java library good grasp data structure algorithm concept database design programming tuning query optimization test methodology testing tool testng junit demonstrated ability solve complex problem software configuration management streaming strategy large parallel development team ability collaborate effectively remote team across time zone essential strong verbal writing skill ability thoroughly understand product specification ability produce clear concise documentation benefit paypal committed building equitable inclusive global economy without important offer benefit help thrive every stage life champion financial physical mental health offering valuable benefit resource help care whole great benefit including flexible environment employee share option health life insurance learn benefit please visit http learn culture community visit http paypal remained forefront digital payment revolution year leveraging technology make financial service commerce convenient affordable secure paypal platform empowering million consumer merchant market join thrive global economy information visit paypal provides equal employment opportunity eeo person regardless age color national origin citizenship status physical mental disability race religion creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard public assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodation qualified individual disability unable submit application incompatible assistive technology disability please contact u paypalglobaltalentacquisition part paypal commitment employee health safety established protocol requirement based expert guidance depending location might include vaccination requirement employee whose role requires onsite employee may request reasonable accommodation based medical condition religious belief prevents vaccinated apply job click apply show le
